id1, name1, members1, id2, name2, members2, common, correlation
163766, "Minnesota Web Design Professionals", 1072, 965888, "Minneapolis Internet Marketing Authority - SEM: SEO & PPC", 664, 133, 0.157641372944
163766, "Minnesota Web Design Professionals", 1072, 1428502, "Web Developers / Designers - Twin Cities", 143, 85, 0.217096846134
163766, "Minnesota Web Design Professionals", 1072, 1432142, "Twin Cities Open Workshop: Design, Technology & Programming", 203, 71, 0.152199398851
163766, "Minnesota Web Design Professionals", 1072, 1519112, "Internet Marketing Geekery", 459, 107, 0.152538700496
163766, "Minnesota Web Design Professionals", 1072, 1558487, "Minnesota PHP User Group", 643, 173, 0.208373853831
163766, "Minnesota Web Design Professionals", 1072, 1559736, "Content Strategy - Minneapolis/St. Paul", 570, 100, 0.127927873106
163766, "Minnesota Web Design Professionals", 1072, 1726715, "Twin Cities Drupal Group", 94, 36, 0.113407344497
163766, "Minnesota Web Design Professionals", 1072, 1760013, "Minnesota Network of SEO's", 322, 87, 0.148079153841
163766, "Minnesota Web Design Professionals", 1072, 1776979, "Google Developers Group - Twin Cities [GDG-TC]", 512, 126, 0.170074096286
163766, "Minnesota Web Design Professionals", 1072, 2635652, "JavaScriptMN", 1003, 268, 0.258456188157
163766, "Minnesota Web Design Professionals", 1072, 3006232, "Twin Cities Software Engineering", 311, 96, 0.166262247093
163766, "Minnesota Web Design Professionals", 1072, 3204912, "Web App Dev", 73, 33, 0.117965528338
163766, "Minnesota Web Design Professionals", 1072, 3491802, "Twin Cities (Data) Visualization Group", 480, 87, 0.121283365928
163766, "Minnesota Web Design Professionals", 1072, 4085032, "Mobile Tech Meetup #mtm", 274, 63, 0.116243285233
163766, "Minnesota Web Design Professionals", 1072, 4632202, "Node Summit Minnesota", 78, 31, 0.107205483492
163766, "Minnesota Web Design Professionals", 1072, 5157092, "Minneapolis - St. Paul WordPress User Group", 440, 144, 0.209671190537
163766, "Minnesota Web Design Professionals", 1072, 6681482, "'saint Paul Web Design and Development Lunch and Learns"", 129, 58, 0.155968087113
163766, "Minnesota Web Design Professionals", 1072, 6871592, "RailsMN -- Rails for Beginners", 270, 68, 0.126394925411
163766, "Minnesota Web Design Professionals", 1072, 7496862, "Lean UX MN", 154, 50, 0.123058679706
163766, "Minnesota Web Design Professionals", 1072, 9189442, "NodeMN", 187, 56, 0.12507480402
163766, "Minnesota Web Design Professionals", 1072, 10545312, "UX Design Discussion", 90, 32, 0.103022321238
163766, "Minnesota Web Design Professionals", 1072, 11355542, "AngularMN", 170, 55, 0.128837068976
965888, "Minneapolis Internet Marketing Authority - SEM: SEO & PPC", 664, 1428502, "Web Developers / Designers - Twin Cities", 143, 33, 0.107093196488
965888, "Minneapolis Internet Marketing Authority - SEM: SEO & PPC", 664, 1519112, "Internet Marketing Geekery", 459, 187, 0.338728098445
965888, "Minneapolis Internet Marketing Authority - SEM: SEO & PPC", 664, 1559736, "Content Strategy - Minneapolis/St. Paul", 570, 73, 0.118659193607
965888, "Minneapolis Internet Marketing Authority - SEM: SEO & PPC", 664, 1578221, "Bootstrappers Breakfast - Minneapolis Entrepreneurs Meetup", 610, 81, 0.127272935686
965888, "Minneapolis Internet Marketing Authority - SEM: SEO & PPC", 664, 1626361, "Minnesota Warrior Forum Mastermind", 143, 70, 0.22716738649
965888, "Minneapolis Internet Marketing Authority - SEM: SEO & PPC", 664, 1760013, "Minnesota Network of SEO's", 322, 120, 0.259519066593
965888, "Minneapolis Internet Marketing Authority - SEM: SEO & PPC", 664, 5157092, "Minneapolis - St. Paul WordPress User Group", 440, 65, 0.120254954606
